Title,Release Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director_imdb,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Film.Ratings.Link,Year,runtime,Director_boxd,Language,country,half.star,one.star,one.half.star,two.star,two.half.star,three.star,three.half.star,four.star,four.half.star,five.star,AvgRating,Description,Director,Country,Year_criterion,Language_criterion
12 Angry Men,1957.0,U,96,Crime,9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,96.0,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,689845,"4,360,000",https://letterboxd.com/csi/film/12-angry-men-1997/rating-histogram/,1997,117.0,William Friedkin,English,USA,20,44,26,107,211,811,908,1188,341,421,3.639195487,"12 Angry Men,by Sidney Lumet, may be the most radical courtroom drama in cinema history. A behind-closed-doors look at the American legal system that is as riveting as it is spare, this iconic adaptation of Reginald Rose’s teleplay stars Henry Fonda as the dissenting member on a jury of white men ready to pass judgment on a Puerto Rican teenager charged with murdering his father. The result is a saga of epic proportions that plays out over a tense afternoon in one sweltering room. Lumet’s electrifying snapshot of 1950s America on the verge of change is one of the great feature film debuts.",Sidney Lumet,United States,1957.0,English
12 Angry Men,1957.0,U,96,Crime,9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,96.0,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,689845,"4,360,000",https://letterboxd.com/csi/film/12-angry-men/rating-histogram/,1957,97.0,Sidney Lumet,English,USA,167,343,172,1048,1126,7361,10935,47579,48878,116775,4.522889788,"12 Angry Men,by Sidney Lumet, may be the most radical courtroom drama in cinema history. A behind-closed-doors look at the American legal system that is as riveting as it is spare, this iconic adaptation of Reginald Rose’s teleplay stars Henry Fonda as the dissenting member on a jury of white men ready to pass judgment on a Puerto Rican teenager charged with murdering his father. The result is a saga of epic proportions that plays out over a tense afternoon in one sweltering room. Lumet’s electrifying snapshot of 1950s America on the verge of change is one of the great feature film debuts.",Sidney Lumet,United States,1957.0,English
The Silence of the Lambs,1991.0,A,118,Crime,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",85.0,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,1270197,"130,742,922",https://letterboxd.com/csi/film/the-silence-of-the-lambs/rating-histogram/,1991,119.0,Jonathan Demme,English,USA,349,897,549,3879,3938,31617,40958,163521,101786,188830,4.314505784,"In this chilling adaptation of the best-selling novel by Thomas Harris, the astonishingly versatile director Jonathan Demme crafted a taut psychological thriller about an American obsession: serial murder. As Clarice Starling, an FBI trainee who enlists the help of the infamous Hannibal “the Cannibal” Lecter to gain insight into the mind of another killer, Jodie Foster subverts classic gender dynamics and gives one of the most memorable performances of her career. As her foil, Anthony Hopkins is the archetypal antihero—cultured, quick-witted, and savagely murderous—delivering a harrowing portrait of humanity gone terribly wrong. A gripping police procedural and a disquieting immersion into a twisted psyche,The Silence of the Lambsswept the Academy Awards® (best picture, director, screenplay, actress, actor) and remains a cultural touchstone.",Jonathan Demme,United States,1991.0,English
Modern Times,1936.0,G,87,Comedy,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,96.0,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,217881,"163,245",https://letterboxd.com/csi/film/modern-times/rating-histogram/,1936,87.0,Charlie Chaplin,English,USA,91,142,121,727,929,5405,8040,25509,15274,24607,4.23408374,"Modern Times,Charlie Chaplin’s last outing as the Little Tramp, puts the iconic character to work as a giddily inept factory employee who becomes smitten with a gorgeous gamine (Paulette Goddard). With its barrage of unforgettable gags and sly commentary on class struggle during the Great Depression,Modern Times—though made almost a decade into the talkie era and containing moments of sound (even song!)—is a timeless showcase of Chaplin’s untouchable genius as a director of silent comedy.",Charles Chaplin,United States,1936.0,English
City Lights,1931.0,G,87,Comedy,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",99.0,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,167839,"19,181",https://letterboxd.com/csi/film/city-lights/rating-histogram/,1931,87.0,Charlie Chaplin,English,USA,49,100,105,431,662,3456,5776,16550,11399,19447,4.279663648,"City Lights,the most cherished film by Charlie Chaplin, is also his ultimate Little Tramp chronicle. The writer-director-star achieved new levels of grace, in both physical comedy and dramatic poignancy, with this silent tale of a lovable vagrant falling for a young blind woman who sells flowers on the street (a magical Virginia Cherrill) and mistakes him for a millionaire. Though this Depression-era smash was made after the advent of sound, Chaplin remained steadfast in his love for the expressive beauty of the pre-talkie form. The result was the epitome of his art and the crowning achievement of silent comedy.",Charles Chaplin,United States,1931.0,English
Paths of Glory,1957.0,A,88,Drama,8.4,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",90.0,Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,178092,,https://letterboxd.com/csi/film/paths-of-glory/rating-histogram/,1957,88.0,Stanley Kubrick,English,USA,32,93,79,376,615,3301,6886,23941,23616,26594,4.343668526,"Stanley Kubrick'sPaths of Gloryis among the most powerful antiwar films ever made. A fiery Kirk Douglas stars as a World War I French colonel who goes head-to-head with the army’s ruthless top brass when his men are accused of cowardice after being unable to carry out an impossible mission. This haunting, exquisitely photographed dissection of the military machine in all its absurdity and capacity for dehumanization (a theme Kubrick would continue to explore throughout his career) is assembled with its legendary director’s customary precision, from its tense trench warfare sequences to its gripping courtroom climax to its ravaging final scene.Paths of Glorywas restored by the UCLA Film & Television Archive in cooperation with MGM Studios, with funding provided by The Film Foundation and the Hollywood Foreign Press Association.",Stanley Kubrick,United States,1957.0,English
The Great Dictator,1940.0,Passed,125,Comedy,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,,Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,203150,"288,475",https://letterboxd.com/csi/film/the-great-dictator/rating-histogram/,1940,125.0,Charlie Chaplin,English,USA,49,130,134,492,772,3845,6211,18259,12429,16767,4.219883902,"In his controversial masterpieceThe Great Dictator,Charlie Chaplin offers both a cutting caricature of Adolf Hitler and a sly tweaking of his own comic persona. Chaplin, in his first pure talkie, brings his sublime physicality to two roles: the cruel yet clownish “Tomainian” dictator and the kindly Jewish barber who is mistaken for him. Featuring Jack Oakie and Paulette Goddard in stellar supporting turns,The Great Dictator,boldly going after the fascist leader before the U.S.’s official entry into World War II, is an audacious amalgam of politics and slapstick that culminates in Chaplin’s famously impassioned speech.",Charles Chaplin,United States,1940.0,English
Ikiru,1952.0,,143,Drama,8.3,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,,Akira Kurosawa,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,Haruo Tanaka,68463,"55,240",https://letterboxd.com/csi/film/ikiru/rating-histogram/,1952,143.0,Akira Kurosawa,Japanese,Japan,32,67,51,271,417,1670,3060,9558,9844,17405,4.413427729,"One of the greatest achievements by Akira Kurosawa,Ikirushows the director at his most compassionate—affirming life through an explora­tion of death. Takashi Shimura beautifully portrays Kanji Watanabe, an aging bureaucrat with stomach cancer who is impelled to find meaning in his final days. Presented in a radically conceived two­part structure and shot with a perceptive, humanistic clarity of vision,Ikiruis a multifaceted look at what it means to be alive.",Akira Kurosawa,Japan,1952.0,Japanese
The Kid,1921.0,Passed,68,Comedy,8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",,Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller,113314,"5,450,000",https://letterboxd.com/csi/film/the-kid/rating-histogram/,1921,53.0,Charlie Chaplin,English,USA,21,51,66,303,564,3262,6176,16347,8400,9684,4.126810625,"Charlie Chaplin was already an international star when he decided to break out of the short-film format and make his first full-length feature.The Kiddoesn’t merely show Chaplin at a turning point, when he proved that he was a serious film director—it remains an expressive masterwork of silent cinema. In it, he stars as his lovable Tramp character, this time raising an orphan (a remarkable young Jackie Coogan) he has rescued from the streets. Chaplin and Coogan make a miraculous pair in this nimble marriage of sentiment and slapstick, a film that is, as its opening title card states, “a picture with a smile—and perhaps, a tear.”",Charles Chaplin,United States,1921.0,English
The Kid,1921.0,Passed,68,Comedy,8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",,Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller,113314,"5,450,000",https://letterboxd.com/csi/film/the-kid-2000/rating-histogram/,2000,104.0,Jon Turteltaub,English,USA,117,410,540,1880,2032,3063,1133,799,125,271,2.737367406,"Charlie Chaplin was already an international star when he decided to break out of the short-film format and make his first full-length feature.The Kiddoesn’t merely show Chaplin at a turning point, when he proved that he was a serious film director—it remains an expressive masterwork of silent cinema. In it, he stars as his lovable Tramp character, this time raising an orphan (a remarkable young Jackie Coogan) he has rescued from the streets. Chaplin and Coogan make a miraculous pair in this nimble marriage of sentiment and slapstick, a film that is, as its opening title card states, “a picture with a smile—and perhaps, a tear.”",Charles Chaplin,United States,1921.0,English
The Kid,1921.0,Passed,68,Comedy,8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",,Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller,113314,"5,450,000",https://letterboxd.com/csi/film/the-kid-2019/rating-histogram/,2019,100.0,Vincent D'Onofrio,English,USA,22,93,158,558,772,1103,472,220,39,28,2.754256854,"Charlie Chaplin was already an international star when he decided to break out of the short-film format and make his first full-length feature.The Kiddoesn’t merely show Chaplin at a turning point, when he proved that he was a serious film director—it remains an expressive masterwork of silent cinema. In it, he stars as his lovable Tramp character, this time raising an orphan (a remarkable young Jackie Coogan) he has rescued from the streets. Chaplin and Coogan make a miraculous pair in this nimble marriage of sentiment and slapstick, a film that is, as its opening title card states, “a picture with a smile—and perhaps, a tear.”",Charles Chaplin,United States,1921.0,English
Ran,1985.0,U,162,Action,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",96.0,Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,112505,"4,135,750",https://letterboxd.com/csi/film/ran/rating-histogram/,1985,160.0,Akira Kurosawa,Japanese,Japan,41,95,115,403,595,2399,4303,13757,12976,21405,4.373121289,"WithRan, legendary director Akira Kurosawa reimagines Shakespeare'sKing Learas a singular historical epic set in sixteenth-century Japan. Majestic in scope, the film is Kurosawa's late-life masterpiece, a profound examination of the folly of war and the crumbling of one family under the weight of betrayal, greed, and the insatiable thirst for power.",Akira Kurosawa,Japan,1985.0,Japanese
Stalker,1979.0,U,162,Drama,8.2,A guide leads two men through an area known as the Zone to find a room that grants wishes.,,Andrei Tarkovsky,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko,116945,"234,723",https://letterboxd.com/csi/film/stalker/rating-histogram/,1979,162.0,Andrei Tarkovsky,Russian,Russian Federation,258,483,406,1254,1392,4494,6357,19475,19080,45216,4.397505462,"Andrei Tarkovsky’s final Soviet feature is a metaphys­ical journey through an enigmatic postapocalyptic landscape, and a rarefied cinematic experience like no other. A hired guide—the Stalker—leads a writer and a professor into the heart of the Zone, the restricted site of a long-ago disaster, where the three men eventually zero in on the Room, a place rumored to fulfill one’s most deeply held desires. Adapting a science-fiction novel by Arkady and Boris Strugatsky, Tarkovsky created an immersive world with a wealth of material detail and a sense of organic atmosphere. A religious allegory, a reflection of contemporaneous political anxieties, a meditation on film itself—Stalkerenvelops the viewer by opening up a multitude of possible meanings.",Andrei Tarkovsky,Soviet Union,1979.0,Russian
